id,doc,unit,docTokenSeq,tokenOrder,lit,Col.0,chunkLayer,wordWylie,word
1094F7EADE69A,three-flirt-2501,22916E9F3193C,1,1,,0,,'o,འོ
300F273762D84,three-flirt-2501,22916E9F3193C,2,2,,1,,/,།
105841B33EFFC,three-flirt-2501,15C7C1A6E1020,3,1,འོ་ཙི,2,,a tsi,ཨ་ཙི
21F180FAF486D,three-flirt-2501,15C7C1A6E1020,4,2,,3,,/,།
142756D77F10E,three-flirt-2501,2D544339CAFE2,5,1,,4,,phur sgron ,ཕུར་སྒྲོན་
128847FD2BF84,three-flirt-2501,2D544339CAFE2,6,2,,5,,lags,ལགས
13E15EFF61E54,three-flirt-2501,2D544339CAFE2,7,3,,6,,/,།
321E74B76A6B7,three-flirt-2501,2AD5EFE5174BD,8,1,,7,,a ,ཨ་
20E49FC91B30E,three-flirt-2501,2AD5EFE5174BD,9,2,,8,,hang hang ,ཧང་ཧང་
7481DADCDB48,three-flirt-2501,2AD5EFE5174BD,10,3,,9,,    ,་་་་
28F597909C5D6,three-flirt-2501,4AA96BFF3B33,11,1,འོ་ཙི,10,,a tsi,ཨ་ཙི
304BC7C05705,three-flirt-2501,4AA96BFF3B33,12,2,,11,,/,།
4BB7B501EA7D,three-flirt-2501,2A844670811D3,13,1,,,,,<0>
57783FCB365A,three-flirt-2501,2A844670811D3,14,2,,12,,rgyun ,རྒྱུན་
32FA1023CA6A2,three-flirt-2501,2A844670811D3,15,3,,13,,ring po ,རིང་པོ་
613E866F785E,three-flirt-2501,2A844670811D3,16,4,,14,,cig ,ཅིག་
3E231C5CFDB2,three-flirt-2501,2A844670811D3,17,5,,,,,<0>
21BC1C14FBCD4,three-flirt-2501,2A844670811D3,18,6,,15,,mjal ,མཇལ་
12456F4566A1,three-flirt-2501,2A844670811D3,19,7,,16,,ma ,མ་
1A34FA998A55D,three-flirt-2501,2A844670811D3,20,8,,17,,byung ,བྱུང་
7A7D5895B5C8,three-flirt-2501,2A844670811D3,21,9,,18,,nga ,ང་
6B391CF285DB,three-flirt-2501,2A844670811D3,22,10,,19,,/,།
1C08D82E8F44F,three-flirt-2501,120800A76DB40,23,1,,20,,'ong ,འོང་
304AECDBF8330,three-flirt-2501,120800A76DB40,24,2,,21,,/,།
26A832120E0E4,three-flirt-2501,30D2EA2EA7F82,25,1,,22,,da ga ,ད་ག་
27C73604210E4,three-flirt-2501,30D2EA2EA7F82,26,2,,23,,rang ,རང་
274AF8D2E1A65,three-flirt-2501,30D2EA2EA7F82,27,3,,24,,/,།
110E46DF28CC4,three-flirt-2501,1F6ABA0E3DF72,28,1,,25,,khyed rang ,ཁྱེད་རང་
971BB6C348D7,three-flirt-2501,1F6ABA0E3DF72,29,2,,26,,dngos gnas ,དངོས་གནས་
22242271FEB25,three-flirt-2501,FEFA3C34CE99,30,1,,27,,snying ,སྙིང་
22B7C9C1508A,three-flirt-2501,FEFA3C34CE99,31,2,,28,,rje ru rje ru ,རྗེ་རུ་རྗེ་རུ་
EE7811660209,three-flirt-2501,FEFA3C34CE99,32,3,,29,,'gro ,འགྲོ་
D35FFD4BE615,three-flirt-2501,FEFA3C34CE99,33,4,,30,,gi ,གི་
461F7FE4347D,three-flirt-2501,FEFA3C34CE99,34,5,,31,,'dug ,འདུག་
1DD37F84DE556,three-flirt-2501,FEFA3C34CE99,35,6,,32,,ga,ག
D3E118A2A9C4,three-flirt-2501,B218E97D71A1,36,1,,,,,<0>
80B10CB2C0C4,three-flirt-2501,B218E97D71A1,37,2,,,,,སྣྙིང་
2638A63B5ECB,three-flirt-2501,B218E97D71A1,38,3,,33,,snying rje ru rje ru ,རྗེ་རུ་རྗེ་རུ་
24E7B835D6FB8,three-flirt-2501,B218E97D71A1,39,4,,34,,'gro ,འགྲོ་
279AEC43FD6D0,three-flirt-2501,B218E97D71A1,40,5,,35,,gis ,གིས་
85E3F62C8FBC,three-flirt-2501,B218E97D71A1,41,6,,36,,lags,ལགས
35810284A72A0,three-flirt-2501,B218E97D71A1,42,7,,37,,/,།
23297534B6A24,three-flirt-2501,E0A0F7E6D4DC,43,1,,38,,a ,ཨ་
11ED32AF82B3B,three-flirt-2501,E0A0F7E6D4DC,44,2,,39,,/,།
16D35DEF6019D,three-flirt-2501,301D262D639CB,45,1,,40,,hang hang ,ཧང་ཧང་
26909462A26A4,three-flirt-2501,301D262D639CB,46,2,,41,,    ,་་་་
31109C578AE1E,three-flirt-2501,231AB7A78391A,47,1,,42,,[@],@
1311D93EA8EF3,three-flirt-2501,2385283ACC612,48,1,,43,,o'o ,ཨོའོ་
1B49DC99FE110,three-flirt-2501,2385283ACC612,49,2,,44,,  ,་་
3135C3CE8963F,three-flirt-2501,AF6D01EDE914,50,1,,45,,phur sgron ,ཕུར་སྒྲོན་
1D22333873A0B,three-flirt-2501,AF6D01EDE914,51,2,,46,,lags,ལགས
2BE6B5DB14378,three-flirt-2501,AF6D01EDE914,52,3,,47,,/,།
2F1A1EA816AB8,three-flirt-2501,1C6B6B3619213,53,1,,48,,lags,ལགས
219B2A92355BB,three-flirt-2501,1C6B6B3619213,54,2,,49,,/,།
16C2B42E2813C,three-flirt-2501,23E45DE905F27,55,1,,50,,de ring ,དེ་རིང་
30B32E8B35FDA,three-flirt-2501,23E45DE905F27,56,2,,51,,dgong dag ,དགོང་དག་
1621E07B00EE4,three-flirt-2501,275EAE487E9D5,57,1,,,,,<0>
235524BFB137,three-flirt-2501,275EAE487E9D5,58,2,,52,,dus tshod ,དུས་ཚོད་
32DB4D68FF305,three-flirt-2501,275EAE487E9D5,59,3,,53,,yod ,ཡོད་
10C4B482F22A0,three-flirt-2501,275EAE487E9D5,60,4,,54,,pas,པས
110BDA770647A,three-flirt-2501,275EAE487E9D5,61,5,,55,,/,།
2889B80F55206,three-flirt-2501,2FE93D1994D2D,62,1,,56,,de ring ,དེ་རིང་
134C609D7A0E8,three-flirt-2501,2FE93D1994D2D,63,2,,57,,dgong dag ,དགོང་དག་
1B0C591475AA,three-flirt-2501,2FE93D1994D2D,64,3,,58,,dus tshod ,དུས་ཚོད་
184649BB4B509,three-flirt-2501,2FE93D1994D2D,65,4,,59,,ga pa,ག་པ
26C90F2AC53B,three-flirt-2501,2FE93D1994D2D,66,5,,60,,ra ,ར་
2C645CAFCCC0A,three-flirt-2501,2FE93D1994D2D,67,6,,61,,yod ,ཡོད་
2E7BDAE3D76BC,three-flirt-2501,2FE93D1994D2D,68,7,,62,,red,རེད
3402F16DDFA78,three-flirt-2501,2FE93D1994D2D,69,8,,63,,/,།
1D899B0221AAB,three-flirt-2501,2B2B09D35BEF1,70,1,,64,,ngar,ངར
1C10ED8063136,three-flirt-2501,2B2B09D35BEF1,71,2,,65,,/,།
313F9DF1278D6,three-flirt-2501,161E396A4E5E7,72,1,,66,,a tsi ,ཨ་ཙི་
C733D34E68D0,three-flirt-2501,161E396A4E5E7,73,2,,67,,  ,་་
31C130755B7B,three-flirt-2501,103EB677992A9,74,1,,68,,de ring ,དེ་རིང་
23EEEA0168761,three-flirt-2501,103EB677992A9,75,2,,69,,yod ,ཡོད་
89A584A634DE,three-flirt-2501,103EB677992A9,76,3,,70,,pA,པཱ
1779A086EC6F9,three-flirt-2501,103EB677992A9,77,4,,71,,/,།
19C00E92591B3,three-flirt-2501,3865FC592943C,78,1,,72,,nga ,ང་
1978E93DC3F4E,three-flirt-2501,3865FC592943C,79,2,,73,,tsho,ཚོ
274AF498E5424,three-flirt-2501,3865FC592943C,80,3,,74,,'i ,འི་
