"id","tokenOrderLast","text","name"
"1096E4AFFFE65",1,"I","Mary"
"92F20ACA5F06",3,"I","Mary"
"7E5BB65072C",8,"was n't gon na do","Trail 87"
"1F74D2B049FA4",9,"this","Staying up late"
"2485C4F740FC0",2,"<0>","Mary"
"1BF2260B4AB78",5,"Stay up late","Staying up late"
"6B37B5A80F2A",2,"<0>","Staying up late"
"259C2C2979B6C",12,"the purpose of getting up in the morning","the purpose of getting up"
"1D1F2B7054E32",12,"getting up in the morning","getting up in the morning"
"1FA3806680C84",12,"the morning","the morning"
"4B32FD84BA10",2,"I","Alice"
"3098AB24A0FA6",3,"it","Staying up late"
"2D5885FCA1E15",9,"a hard habit to break","a hard habit to break"
"1C311FD331AC4",2,"I","Alice"
"2E01153F693D3",1,"It","Staying up late"
"28CFE0272CE1C",4,"I","Alice"
"24229602BDC4C",2,"I","Alice"
"1A598AE39592B",6,"midnight","midnight"
"38C628AB4DA4D",1,"What","what Mary can do now"
"36B8918BB6E64",3,"I","Staying up late"
"17608A48A8CCB",3,"I","Alice"
"133C65F83A405",3,"I","Alice"
"139C26E2A6E76",8,"Tim","Tim"
"2DBD9BDA41010",2,"he","Tim"
"DB5A01B9C39F",2,"He","Tim"
"1E6781DA908F3",5,"he","Tim"
"1E1F6CD1A6E4C",8,"Ron","Ron"
"FF28AE624EA2",5,"all this other shit","All this other shit (other than talking to Ben)"
"2E53816E63360",2,"what","the way they were feeling"
"32B3B0A84E33A",10,"the way (...) they were feeling","the way they were feeling"
"3456053D6E7E5",3,"them","Tim and Mandy"
"3519769420DAC",10,"the only ones cleaning the house","Tim and Mandy"
"213657158EE6C",10,"the house","the house"
"306EAF1E0025B",5,"all this other shit","All this other shit (other than being the only ones to clean)"
"300C3E2AFF5CC",3,"I","Alice"
"B53200897018",9,"what they do n't realize","what they don't realize"
"36CF9BA382BDA",6,"they","Tim and Mandy"
"22834A0D49440",7,"when Ron gets home from work ,","what they don't realize"
"1C32FA572C786",2,"Ron","Ron"
"A1E44FA50605",4,"home","the house"
"45D2538FFEDE",6,"work","Ron's work"
"7F10C1AC0F34",10,"(...) I wan na <0> spend time with Ron ,","what they don't realize"
"1DD5316D56807",2,"I","Alice"
"2FBC1E212CF92",7,"time","time (spending)"
"627D3ADC0D1E",9,"Ron","Ron"
"7EC72BA4D81A",3,"because Ron ,","what they don't realize"
"77386F30EC8A",2,"Ron","Ron"
"13BC3AE5EFE95",11,"(...) usually does n't get home till nine or ten .","what they don't realize"
"C5398283BA0C",6,"home","the house"
"9BBBF5B4CED8",8,"nine","nine o'clock"
"82831718231C",10,"nine or ten","`nine or ten"
"10B1E8B9A5DC0",10,"ten","ten o'clock"
"16A52A7994637",2,"Tim","Tim"
"4A063419D556",1,"he","Ron"
"36C85595E9EA4",8,"every little dime that he makes","every little dime that ron makes"
"1EA9E1A9D3BEE",7,"he","Ron"
"290A040DBE92D",1,"He","Ron"
"513F50ED54C2",6,"any breaks","any breaks"
"382D95A5FE64F",2,"Tim","Tim"
"21B834B5E4F57",5,"salary","Tim's salary"
"CE3A09CF9407",2,"he","Tim"
"15C2ADACD3CE5",5,"leave","leave (that Tim takes)"
"15408B58961EE",3,"he","Tim"
"2ED5C9CB7CC17",5,"leave","leave (that Tim takes)"
"300E65C635158",1,"he","Tim"
"F9B374108073",2,"he","Tim"
"E39A98ACEB7B",5,"sick leave","sick leave (that Ron gets)"
"E8655A3C5C6E",2,"we","Alice and Ron"
"29CDE025041BC",6,"shit","shit (nothing)"
"2275822D0C7C5",3,"I","Mary"
"381C730934EA7",11,"living with another couple","two couples living together"
"BEBA0E89CF29",11,"another couple","Tim and Mandy"
"37151C3820E71",2,"I","Alice"
"27748A9D3F4FA",2,"we","The two couples"
"B027C7F65660",2,"we","The two couples"
"95C03BC40AFF",3,"we","The two couples"
"1BCA2072C8FF9",7,"<0>","The two couples"
"137AFD7BFD483",10,"some rules","some rules"
"33F3C680D646",2,"we","The two couples"
"2EEC8B1E9604",4,"it","two couples living together"
"4CDC8C5C2B5E",2,"You","Mary"
"1985CB19FFAF7",6,"what it amounts to","mutual respect"
"1B248E41AB887",4,"it","mutual respect"
"366CA49E09747",4,"mutual r respect","mutual respect"
"2A5934E8C6BC5",2,"l","Alice"
"257088FA23092",4,"Tim","Tim"
"FDC1F7328CEF",6,"Ron","Ron"
"3886DD6C2C6C6",4,"he","Tim"
"1A1C3F2C91678",6,"him","Ron"
"1BCBA300B6556",1,"he","Tim"
"1105FCBE116BD",4,"it","nobody fucks with my lifestyle"
"1233209508F3D",5,"he","Tim"
"38A998D97DB6B",2,"nobody","nobody (who fucks with Tim's lifestyle)"
"EAB21F94F477",6,"nobody fucks with my lifestyle","nobody fucks with my lifestyle"
"16EF5149B9410",5,"my","Tim"
"38A8E0A99659F",6,"my lifestyle","Tim's lifestyle"
"25268FD31838F",2,"I","Alice"
"27446C442BE3E",7,"the exact same way","nobody fucks with my lifestyle"
"3499FF1D6359F",10,"all those bitches and complaints that he has","Tim's bitches and complaints"
"3F1336979E55",9,"he","Tim"
"16FD48B83A701",2,"they","Tim's bitches and complaints"
"25C6E449E773",6,"they 're about my lifestyle","that Tim's complaints are about Alice's lifestyle"
