"id","text","formType"
"1096E4AFFFE65","I","lexical"
"92F20ACA5F06","I","lexical"
"1F74D2B049FA4","this","pronominal"
"2485C4F740FC0","<0>","zero"
"1BF2260B4AB78","Stay up late","lexical"
"6B37B5A80F2A","<0>","zero"
"259C2C2979B6C","the purpose of getting up in the morning","pronominal"
"1D1F2B7054E32","getting up in the morning","pronominal"
"1FA3806680C84","the morning","pronominal"
"4B32FD84BA10","I","lexical"
"3098AB24A0FA6","it","pronominal"
"2D5885FCA1E15","a hard habit to break","pronominal"
"1C311FD331AC4","I","lexical"
"2E01153F693D3","It","pronominal"
"28CFE0272CE1C","I","lexical"
"24229602BDC4C","I","lexical"
"1A598AE39592B","midnight","lexical"
"38C628AB4DA4D","What","lexical"
"36B8918BB6E64","I","lexical"
"17608A48A8CCB","I","lexical"
"133C65F83A405","I","lexical"
"139C26E2A6E76","Tim","lexical"
"2DBD9BDA41010","he","pronominal"
"DB5A01B9C39F","He","pronominal"
"1E6781DA908F3","he","pronominal"
"1E1F6CD1A6E4C","Ron","lexical"
"FF28AE624EA2","all this other shit","pronominal"
"2E53816E63360","what","lexical"
"32B3B0A84E33A","the way (...) they were feeling","pronominal"
"3456053D6E7E5","them","pronominal"
"3519769420DAC","the only ones cleaning the house","pronominal"
"213657158EE6C","the house","pronominal"
"306EAF1E0025B","all this other shit","pronominal"
"300C3E2AFF5CC","I","lexical"
"B53200897018","what they do n't realize","pronominal"
"36CF9BA382BDA","they","pronominal"
"22834A0D49440","when Ron gets home from work ,","pronominal"
"1C32FA572C786","Ron","lexical"
"A1E44FA50605","home","pronominal"
"45D2538FFEDE","work","lexical"
"7F10C1AC0F34","(...) I wan na <0> spend time with Ron ,","pronominal"
"1DD5316D56807","I","lexical"
"2FBC1E212CF92","time","pronominal"
"627D3ADC0D1E","Ron","lexical"
"7EC72BA4D81A","because Ron ,","pronominal"
"77386F30EC8A","Ron","lexical"
"13BC3AE5EFE95","(...) usually does n't get home till nine or ten .","pronominal"
"C5398283BA0C","home","pronominal"
"9BBBF5B4CED8","nine","lexical"
"82831718231C","nine or ten","lexical"
"10B1E8B9A5DC0","ten","lexical"
"16A52A7994637","Tim","lexical"
"4A063419D556","he","pronominal"
"36C85595E9EA4","every little dime that he makes","pronominal"
"1EA9E1A9D3BEE","he","pronominal"
"290A040DBE92D","He","pronominal"
"513F50ED54C2","any breaks","lexical"
"382D95A5FE64F","Tim","lexical"
"21B834B5E4F57","salary","lexical"
"CE3A09CF9407","he","pronominal"
"15C2ADACD3CE5","leave","lexical"
"15408B58961EE","he","pronominal"
"2ED5C9CB7CC17","leave","lexical"
"300E65C635158","he","pronominal"
"F9B374108073","he","pronominal"
"E39A98ACEB7B","sick leave","lexical"
"E8655A3C5C6E","we","pronominal"
"29CDE025041BC","shit","pronominal"
"2275822D0C7C5","I","lexical"
"381C730934EA7","living with another couple","pronominal"
"BEBA0E89CF29","another couple","pronominal"
"37151C3820E71","I","lexical"
"27748A9D3F4FA","we","pronominal"
"B027C7F65660","we","pronominal"
"95C03BC40AFF","we","pronominal"
"1BCA2072C8FF9","<0>","zero"
"137AFD7BFD483","some rules","pronominal"
"33F3C680D646","we","pronominal"
"2EEC8B1E9604","it","pronominal"
"4CDC8C5C2B5E","You","pronominal"
"1985CB19FFAF7","what it amounts to","pronominal"
"1B248E41AB887","it","pronominal"
"366CA49E09747","mutual r respect","lexical"
"2A5934E8C6BC5","l","lexical"
"257088FA23092","Tim","lexical"
"FDC1F7328CEF","Ron","lexical"
"3886DD6C2C6C6","he","pronominal"
"1A1C3F2C91678","him","pronominal"
"1BCBA300B6556","he","pronominal"
"1105FCBE116BD","it","pronominal"
"1233209508F3D","he","pronominal"
"38A998D97DB6B","nobody","lexical"
"EAB21F94F477","nobody fucks with my lifestyle","pronominal"
"16EF5149B9410","my","lexical"
"38A8E0A99659F","my lifestyle","lexical"
"25268FD31838F","I","lexical"
"27446C442BE3E","the exact same way","pronominal"
"3499FF1D6359F","all those bitches and complaints that he has","pronominal"
"3F1336979E55","he","pronominal"
"16FD48B83A701","they","pronominal"
"25C6E449E773","they 're about my lifestyle","pronominal"
"2B8CC893FEA6B","my lifestyle","lexical"
"CE08658F623F","he","pronominal"
"C2DB6F65E555","that","pronominal"
"2296B58F03C2F","that","pronominal"
"1343DF2A28886","what I 'm gon na tell him","pronominal"
"25BFEBFCB1B77","I","lexical"
"FF918C60DCBE","him","pronominal"
"13246B9B64987","you","pronominal"
"120847C0604BF","the only way it 's gon na work","pronominal"
"24AF3536F90A3","the only way it 's gon na work ,","pronominal"
"33742058F94CA","it","pronominal"
