"id","name","unitLastWord","unitSeqLast","word","docTokenSeqLast","entityType","roleType","person"
"3D148B2FEEA8","slob phrug","<0> ཕེབས་ གནང་ །",3,"<0>",5,"person","S",0
"1CA978DCDE1DB","dpe mdzod do dam pa","<0> རྒན་ ངག་དབང་ ལགས་ ཡིན་ ནམ །",4,"<0>",9,"person","COPS",0
"14C5BE6658C39","dpe mdzod do dam pa","<0> རྒན་ ངག་དབང་ ལགས་ ཡིན་ ནམ །",4,"རྒན་ ངག་དབང་ ལགས་",12,"person","PRED",3
"1FE8CC91923D1","dpe mdzod do dam pa","ལགས་ <0> ཡིན །",5,"<0>",17,"person","PRED",0
"33A483E30E811","dpe mdzod do dam pa","ང་",6,"ང་",20,"person","COPS",1
"280CA1A8A425","bod yig sde tshan gyi dpe mdzod","འདི་ བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་ རེད་ པས ལགས །",7,"འདི་",21,"location","COPS",3
"7B8D3380E1B7","bod yig sde tshan","འདི་ བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་ རེད་ པས ལགས །",7,"བོད་ཡིག་ སྡེ་ཚན་",23,"organization","POSS",3
"324844D19047E","bod yig sde tshan gyi dpe mdzod","འདི་ བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་ རེད་ པས ལགས །",7,"བོད་ཡིག་ སྡེ་ཚན་ གྱི་ དཔེ་མཛོད་",25,"location","PRED",3
"1CC01F5DEFBA2","bod yig sde tshan gyi dpe mdzod","ལགས་ <0> <0> རེད །",8,"<0>",31,"location","COPS",0
"134D42FB97545","bod yig sde tshan gyi dpe mdzod","ལགས་ <0> <0> རེད །",8,"<0>",32,"location","PRED",0
"183DC7932D931","slob phrug","ཁྱེད་རང་ གང་ ནས་ ཕེབས་པ་ ཡིན་ ནམ །",10,"ཁྱེད་རང་",36,"person","S",2
"1373D1F88358","rgya gar","ཁྱེད་རང་ གང་ ནས་ ཕེབས་པ་ ཡིན་ ནམ །",10,"གང་ ནས་",38,"location","ADJ",3
"2DBE5E8F59A6D","slob phrug","ང་ རྒྱ་གར་ ནས་ ཡོང་པ་ ཡིན །",11,"ང་",43,"person","S",1
"F20CE11F519F","rgya gar","ང་ རྒྱ་གར་ ནས་ ཡོང་པ་ ཡིན །",11,"རྒྱ་གར་ ནས་",45,"location","ADJ",3
"1366768617","slob phrug","ང་ འདི ར་ སྤྱིར་བཏང་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ ཡོང་བ་ ཡིན །",13,"ང་",50,"person","S",1
"287C6AAAA209D","mtho slob","ང་ འདི ར་ སྤྱིར་བཏང་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ ཡོང་བ་ ཡིན །",13,"འདི ར་",52,"organization","OBL",3
"2E01887F5E6CF","slob phrug","ང་ འདི ར་ སྤྱིར་བཏང་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ ཡོང་བ་ ཡིན །",13,"<0>",54,"person","A",0
"2B90728BB8B9A","slob sbyong","ང་ འདི ར་ སྤྱིར་བཏང་ <0> སློབ་སྦྱོང་ བྱེད་ གར་ ཡོང་བ་ ཡིན །",13,"སློབ་སྦྱོང་",55,"abstract","LVO",3
"1AF2B188E721B","slob phrug","<0> སློབ་ཕྲུག་ ཡིན་ X X",15,"<0>",63,"person","COPS",0
"82A7A61DA34","slob phrug","<0> སློབ་ཕྲུག་ ཡིན་ X X",15,"སློབ་ཕྲུག་",64,"person","PRED",3
"444F2F65FD2","mtho slob","མཐོ་སློབ་ འདི འི་ ནང་ ལ ཡ །",16,"མཐོ་སློབ་ འདི འི་",70,"organization","POSS",3
"1F90115EC01DA","mtho slob kyi nang","མཐོ་སློབ་ འདི འི་ ནང་ ལ ཡ །",16,"མཐོ་སློབ་ འདི འི་ ནང་ ལ",72,"location","ADJ",3
"2D868B44C8058","slob phrug","ཨ་ནི་ ང་ གཙོ་བོ་ རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་ རིག་གཅིག་རྐང་འཛིན་ སློབ་སྦྱོང་ བྱས་པ་ ཡིན །",17,"ང་",76,"person","LVS",1
"208A6ED2AD07F","rgyal rabs","ཨ་ནི་ ང་ གཙོ་བོ་ རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་ རིག་གཅིག་རྐང་འཛིན་ སློབ་སྦྱོང་ བྱས་པ་ ཡིན །",17,"རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་",82,"abstract","ADJ",3
"27307A9338E29","slob sbyong","ཨ་ནི་ ང་ གཙོ་བོ་ རྒྱལ་རབས་ _P_ ཨ་ ཐོག་ ལ་ རིག་གཅིག་རྐང་འཛིན་ སློབ་སྦྱོང་ བྱས་པ་ ཡིན །",17,"སློབ་སྦྱོང་",84,"abstract","LVO",3
"1F79B357D83D8","mtho slob","བྱས་ ཙང་ འདི ར་ ཡ་",19,"འདི ར་",93,"organization","COPLOC",3
"31C1B7402374E","phyag dpe (general)","ཕྱག་དཔེ་ དེ་འདྲས་ གཡར་ གནང་ ཡག་ XX",20,"ཕྱག་དཔེ་",95,"thing","P",3
"185A58E04FEB0","phyag dpe (general)","ཕྱག་དཔེ་ དེ་འདྲས་ གཡར་ གནང་ ཡག་ XX",20,"ཕྱག་དཔེ་ དེ་འདྲས་ གཡར་ གནང་ ཡག་",99,"thing","EXIST",3
"32FB50AD0D1AC","phyag dpe (general)","ལ- ལགས་ <0> <0> ཡོད རེད །",24,"<0>",113,"thing","EXIST",0
"2B282F7B292DE","mtho slob","ལ- ལགས་ <0> <0> ཡོད རེད །",24,"<0>",114,"organization","COPLOC",0
"25DACB0FBB71C","slob phrug","<0> རྒྱ་གར་ གང་ ནས་ ཕེབས་པ་ ཡིན་ ནམ །",25,"<0>",118,"person","S",0
"2276CB469ABB5","rgya gar","<0> རྒྱ་གར་ གང་ ནས་ ཕེབས་པ་ ཡིན་ ནམ །",25,"རྒྱ་གར་ གང་ ནས་",121,"location","ADJ",3
"5D51BCB1E3E3","slob phrug","<0> རྒྱ་གར་ རྡ་རམ་ས་ལ་ ནས ཡིན །",26,"<0>",126,"person","COPS",0
"21D7366808412","rgya gar","<0> རྒྱ་གར་ རྡ་རམ་ས་ལ་ ནས ཡིན །",26,"རྒྱ་གར་",127,"location","POSS",3
"2B95CB73787C1","dha ram sa la","<0> རྒྱ་གར་ རྡ་རམ་ས་ལ་ ནས ཡིན །",26,"རྒྱ་གར་ རྡ་རམ་ས་ལ་ ནས",129,"location","PRED",3
"190C8DD569A6F","slob phrug","ཨ་ནི་ ང་ ཕྱག་དཔེ་ འདི་གས་ གཅིག་ །",32,"ང་",143,"person","A",1
"3507643836B44","phyag dpe (general)","ཨ་ནི་ ང་ ཕྱག་དཔེ་ འདི་གས་ གཅིག་ །",32,"ཕྱག་དཔེ་ འདི་གས་ གཅིག་",146,"thing","P",3
"AD8366855C2C","phyag dpe (general)","ཕྱག་དཔེ་ དེ་ ཚོ་",41,"ཕྱག་དཔེ་ དེ་ ཚོ་",172,"thing","P",3
"1E6F04CFF1598","dpe mdzod khang gi las byed pa","<0> ས་གནས་ ག་པར་ ནས་ བསྣམས་ ཡོང་བ་ རེད །",42,"<0>",173,"person","A",0
