"id","unitLastText","tokenOrderLast","text","name","number"
"1096E4AFFFE65","I said I was n't gon na do this anymore .",1,"I","Mary","sg"
"92F20ACA5F06","I said I was n't gon na do this anymore .",3,"I","Mary","sg"
"1F74D2B049FA4","I said I was n't gon na do this anymore .",9,"this","Staying up late","pl"
"2485C4F740FC0","(...) <0> Stay up late .",2,"<0>","Mary","?"
"1BF2260B4AB78","(...) <0> Stay up late .",5,"Stay up late","Staying up late","sg"
"6B37B5A80F2A","(...) <0> Kinda defeats the purpose of getting up in the morning .",2,"<0>","Staying up late","?"
"259C2C2979B6C","(...) <0> Kinda defeats the purpose of getting up in the morning .",12,"the purpose of getting up in the morning","the purpose of getting up","sg"
"1D1F2B7054E32","(...) <0> Kinda defeats the purpose of getting up in the morning .",12,"getting up in the morning","getting up in the morning","sg"
"1FA3806680C84","(...) <0> Kinda defeats the purpose of getting up in the morning .",12,"the morning","the morning","sg"
"4B32FD84BA10","(...) I know .",2,"I","Alice","sg"
"3098AB24A0FA6","(.) And it 's a hard habit to break .",3,"it","Staying up late","sg"
"2D5885FCA1E15","(.) And it 's a hard habit to break .",9,"a hard habit to break","a hard habit to break","sg"
"1C311FD331AC4","Usually I do n't —",2,"I","Alice","sg"
"2E01153F693D3","It is .",1,"It","Staying up late","sg"
"28CFE0272CE1C","s (%) Usually I do n't stay up late .",4,"I","Alice","sg"
"24229602BDC4C","if I 'm up after midnight ?",2,"I","Alice","sg"
"1A598AE39592B","if I 'm up after midnight ?",6,"midnight","midnight","sg"
"38C628AB4DA4D","What can I do now .",1,"What","what Mary can do now","sg"
"36B8918BB6E64","What can I do now .",3,"I","Staying up late","sg"
"17608A48A8CCB","(...) (GULP) I still ca n't (%) —",3,"I","Alice","sg"
"133C65F83A405","(...) God I still ca n't believe Tim bitching around and ,",3,"I","Alice","sg"
"139C26E2A6E76","(...) God I still ca n't believe Tim bitching around and ,",8,"Tim","Tim","sg"
"2DBD9BDA41010","(.) he lied too .",2,"he","Tim","sg"
"DB5A01B9C39F","(...) He said that he talked to Ron ,",2,"He","Tim","sg"
"1E6781DA908F3","(...) He said that he talked to Ron ,",5,"he","Tim","sg"
"1E1F6CD1A6E4C","(...) He said that he talked to Ron ,",8,"Ron","Ron","sg"
"FF28AE624EA2","and all this other shit ?",5,"all this other shit","All this other shit (other than talking to Ben)","sg"
"2E53816E63360","About what .",2,"what","the way they were feeling","sg"
"32B3B0A84E33A","(...) About (%) (...) the way (...) they were feeling ,",10,"the way (...) they were feeling","the way they were feeling","sg"
"3456053D6E7E5","(...) of them being the only ones cleaning the house ,",3,"them","Tim and Mandy","pl"
"3519769420DAC","(...) of them being the only ones cleaning the house ,",10,"the only ones cleaning the house","Tim and Mandy","sg"
"213657158EE6C","(...) of them being the only ones cleaning the house ,",10,"the house","the house","sg"
"306EAF1E0025B","and all this other shit ?",5,"all this other shit","All this other shit (other than being the only ones to clean)","sg"
"300C3E2AFF5CC","(...) (H) I mean what they do n't realize ,",3,"I","Alice","sg"
"B53200897018","(...) (H) I mean what they do n't realize ,",9,"what they do n't realize","what they don't realize","sg"
"36CF9BA382BDA","(...) (H) I mean what they do n't realize ,",6,"they","Tim and Mandy","pl"
"22834A0D49440","when Ron gets home from work ,",7,"when Ron gets home from work ,","what they don't realize","sg"
"1C32FA572C786","when Ron gets home from work ,",2,"Ron","Ron","sg"
"A1E44FA50605","when Ron gets home from work ,",4,"home","the house","sg"
"45D2538FFEDE","when Ron gets home from work ,",6,"work","Ron's work","sg"
"7F10C1AC0F34","(...) I wan na <0> spend time with Ron ,",10,"(...) I wan na <0> spend time with Ron ,","what they don't realize","sg"
"1DD5316D56807","(...) I wan na <0> spend time with Ron ,",2,"I","Alice","sg"
"2FBC1E212CF92","(...) I wan na <0> spend time with Ron ,",7,"time","time (spending)","sg"
"627D3ADC0D1E","(...) I wan na <0> spend time with Ron ,",9,"Ron","Ron","sg"
"7EC72BA4D81A","because Ron ,",3,"because Ron ,","what they don't realize","sg"
"77386F30EC8A","because Ron ,",2,"Ron","Ron","sg"
"13BC3AE5EFE95","(...) usually does n't get home till nine or ten .",11,"(...) usually does n't get home till nine or ten .","what they don't realize","sg"
"C5398283BA0C","(...) usually does n't get home till nine or ten .",6,"home","the house","sg"
"9BBBF5B4CED8","(...) usually does n't get home till nine or ten .",8,"nine","nine o'clock","sg"
"82831718231C","(...) usually does n't get home till nine or ten .",10,"nine or ten","`nine or ten","sg"
"10B1E8B9A5DC0","(...) usually does n't get home till nine or ten .",10,"ten","ten o'clock","sg"
"16A52A7994637","Unlike Tim ,",2,"Tim","Tim","sg"
"4A063419D556","he has to work ,",1,"he","Ron","sg"
"36C85595E9EA4","(...) for every little dime that he makes .",8,"every little dime that he makes","every little dime that ron makes","pl"
"1EA9E1A9D3BEE","(...) for every little dime that he makes .",7,"he","Ron","sg"
"290A040DBE92D","He does n't get any breaks .",1,"He","Ron","sg"
"513F50ED54C2","He does n't get any breaks .",6,"any breaks","any breaks","pl"
"382D95A5FE64F","(...) Tim is on salary ,",2,"Tim","Tim","sg"
"21B834B5E4F57","(...) Tim is on salary ,",5,"salary","Tim's salary","sg"
"CE3A09CF9407","and he can take leave ,",2,"he","Tim","sg"
"15C2ADACD3CE5","and he can take leave ,",5,"leave","leave (that Tim takes)","sg"
"15408B58961EE","(...) and he earns leave ,",3,"he","Tim","sg"
"2ED5C9CB7CC17","(...) and he earns leave ,",5,"leave","leave (that Tim takes)","sg"
"300E65C635158","he 's —",1,"he","Tim","sg"
"F9B374108073","(...) he gets sick leave ,",2,"he","Tim","sg"
"E39A98ACEB7B","(...) he gets sick leave ,",5,"sick leave","sick leave (that Ron gets)","sg"
"E8655A3C5C6E","(...) we do n't get shit .",2,"we","Alice and Ron","pl"
"29CDE025041BC","(...) we do n't get shit .",6,"shit","shit (nothing)","sg"
"2275822D0C7C5","(...) (TSK) I do n't know .",3,"I","Mary","sg"
"381C730934EA7","(...) (H) (...) It is really hard living with another couple .",11,"living with another couple","two couples living together","sg"
"BEBA0E89CF29","(...) (H) (...) It is really hard living with another couple .",11,"another couple","Tim and Mandy","sg"
"37151C3820E71","(...) I mean ,",2,"I","Alice","sg"
"27748A9D3F4FA","(.) we —",2,"we","The two couples","pl"
"B027C7F65660","If we set our —",2,"we","The two couples","pl"
"95C03BC40AFF","(.) If we sit down and <0> set some rules ,",3,"we","The two couples","pl"
"1BCA2072C8FF9","(.) If we sit down and <0> set some rules ,",7,"<0>","The two couples","?"
